Cavity,Gradient,JT Valve Position,Start,End,Reference Heat Load,MySampler Time Interval
1,16,34,4/1/19 18:12,4/1/19 18:52,80,1
1,16,34,4/1/19 18:12,4/1/19 18:52,80,5
2,16,24.5,4/2/19 12:14,4/2/19 12:54,64,1
2,16,24.5,4/2/19 12:14,4/2/19 12:54,64,5
4,16,24.5,4/2/19 13:40,4/2/19 14:20,64,1
4,16,24.5,4/2/19 13:40,4/2/19 14:20,64,5
5,15,24.5,4/2/19 16:19,4/2/19 16:59,64,1
5,15,24.5,4/2/19 16:19,4/2/19 16:59,64,5
6,6.2,24.5,4/2/19 17:38,4/2/19 18:18,64,1
6,6.2,24.5,4/2/19 17:38,4/2/19 18:18,64,5
7,16,24.5,4/2/19 18:27,4/2/19 19:07,64,1
7,16,24.5,4/2/19 18:27,4/2/19 19:07,64,5
8,15,24.5,4/2/19 20:02,4/2/19 20:42,64,1
8,15,24.5,4/2/19 20:02,4/2/19 20:42,64,5
3,16,24.5,4/2/19 21:07,4/2/19 21:47,64,1
3,16,24.5,4/2/19 21:07,4/2/19 21:47,64,5
1,16,24.1,4/3/19 22:24,4/3/19 23:54,64,1
1,16,24.1,4/3/19 22:24,4/3/19 23:54,64,5
3,16,24.8,4/4/19 12:03,4/4/19 13:33,64,1
3,16,24.8,4/4/19 12:03,4/4/19 13:33,64,5
2,16,24.8,4/4/19 17:34,4/4/19 19:04,64,1
2,16,24.8,4/4/19 17:34,4/4/19 19:04,64,5
4,16,24.8,4/4/19 19:09,4/4/19 20:39,64,1
4,16,24.8,4/4/19 19:09,4/4/19 20:39,64,5
5,15,24.8,4/4/19 20:50,4/4/19 22:20,64,1
5,15,24.8,4/4/19 20:50,4/4/19 22:20,64,5
7,16,24.8,4/4/19 22:25,4/4/19 23:55,64,1
7,16,24.8,4/4/19 22:25,4/4/19 23:55,64,5